assessmentId,scientificName,internalTaxonId,doi
169589096,Hopea glabra,33018,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T33018A169589096.en
169589143,Hopea racophloea,33022,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T33022A169589143.en
169589185,Hopea utilis,33023,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T33023A169589185.en
169589635,Reinwardtiodendron anamalaiense,169578317,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T169578317A169589635.en
172581635,Alseodaphnopsis petiolaris,172580995,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T172580995A172581635.en
172607067,Dehaasia assamica,172587745,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T172587745A172607067.en
172913103,Lindera andamanica,172738069,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T172738069A172913103.en
173472237,Cynometra bourdillonii,31185,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T31185A173472237.en
175597951,Machilus kingii,175597058,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T175597058A175597951.en
175655465,Cryptocoryne sivadasanii,175655434,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T175655434A175655465.en
175746105,Phoebe angustifolia,175615495,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T175615495A175746105.en
176691123,Sloanea tomentosa,31275,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T31275A176691123.en
176691179,Antidesma khasianum,176680211,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T176680211A176691179.en
176861755,Ormosia robusta,176856760,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T176856760A176861755.en
176861795,Syzygium khasianum,176857958,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T176857958A176861795.en
177944173,Premna debiana,177944137,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T177944137A177944173.en
177944419,Premna milleflora,177944393,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T177944393A177944419.en
177969102,Dipcadi goaense,177962982,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T177962982A177969102.en
179054978,Dasymaschalon longiflorum,179054974,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T179054974A179054978.en
179207816,Goniothalamus thwaitesii,179207814,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T179207814A179207816.en
180593985,Calidris ferruginea,22693431,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T22693431A180593985.en
181389582,Megophrys awuh,181140345,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T181140345A181389582.en
181391525,Megophrys dzukou,181141076,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T181141076A181391525.en
181516499,Blythophryne beryet,181473105,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T181473105A181516499.en
181893398,Megophrys numhbumaeng,181140883,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T181140883A181893398.en
185287991,Alphonsea zeylanica,176848640,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T176848640A185287991.en
186884436,Pecteilis triflora,186884431,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T186884431A186884436.en
186885121,Crepidium aphyllum,184539455,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T184539455A186885121.en
186885369,Peristylus sahanii,186884507,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T186884507A186885369.en
186885384,Eulophia obtusa,186884978,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T186884978A186885384.en
186885394,Habenaria sahyadrica,186885185,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T186885185A186885394.en
187022622,Murdannia assamica,187022603,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T187022603A187022622.en
187022673,Murdannia brownii,187022663,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T187022663A187022673.en
187024275,Murdannia saddlepeakensis,187024265,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T187024265A187024275.en
187025974,Murdannia sanjappae,187025460,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T187025460A187025974.en
188972478,Oberonia bopannae,186301014,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T186301014A188972478.en
191546963,Adelocaryum lambertianum,191546628,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T191546628A191546963.en
191547198,Adelocaryum malabaricum,191547129,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T191547129A191547198.en
191547574,Amorphophallus smithsonianus,191547570,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T191547570A191547574.en
191681934,Distimake rhyncorhiza,191681904,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T191681904A191681934.en
197729585,Cryptocoryne cognata,168904,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T168904A197729585.en
197729797,Cryptocoryne consobrina,175218,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T175218A197729797.en
197945974,Raorchestes keirasabinae,197945955,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T197945955A197945974.en
201031094,Humboldtia bourdillonii,31187,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T31187A201031094.en
201031154,Dialium travancoricum,33645,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T33645A201031154.en
201031235,Prioria pinnata,33647,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T33647A201031235.en
201031315,Aporosa bourdillonii,38758,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T38758A201031315.en
201031378,Humboldtia brunonis,201030934,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T201030934A201031378.en
201031398,Syzygium periyarense,201031081,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T201031081A201031398.en
202740770,Semecarpus kurzii,202483877,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T202483877A202740770.en
202740785,Semecarpus prainii,202483996,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T202483996A202740785.en
202740790,Semecarpus subpanduriformis,202484066,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T202484066A202740790.en
