assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2000,76.91016,10.312675
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2000,76.967501,10.338319
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2000,76.989666,10.397607
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2000,76.991853,10.371668
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2002,76.934518,10.350881
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2002,76.940389,10.252168
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2019,76.89109,10.29939
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2019,76.89543,10.29858
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2019,76.91117,10.31311
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2019,76.96959,10.33753
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2019,76.98795,10.39876
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2019,76.98853,10.39653
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2019,76.99762,10.36418
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2019,76.99988,10.36352
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: parentEventID corresponds to Transects; eventID to PCQ points along transect; occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,1998,77.271664,8.638383
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: parentEventID corresponds to Transects; eventID to PCQ points along transect; occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,1998,77.273983,8.630313
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: parentEventID corresponds to Transects; eventID to PCQ points along transect; occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,1998,77.275942,8.624297
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: parentEventID corresponds to Transects; eventID to PCQ points along transect; occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,1998,77.444858,8.525881
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: parentEventID corresponds to Transects; eventID to PCQ points along transect; occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,1998,77.44528,8.524337
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: parentEventID corresponds to Transects; eventID to PCQ points along transect; occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,1998,77.446594,8.525236
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Secondary Forest,,,HIFP,PreservedSpecimen,1976,77.069964,8.965265
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,seeds. Location and date approximate.,,,iNaturalist,HumanObservation,2001,76.933763,10.408027
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,"Sighting and photos (c) buddhi. Field Notes - Known as Sri Lankan ironwood and it is the National tree of Sri Lanka. belongs to family Calophyllaceae. The tree can grow over 30?m tall, often buttressed at the base with a trunk up to 2?m in diameter. The",,,iNaturalist,HumanObservation,2019,80.237643,7.657916
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Sighting and photos (c) nipunika. Field Notes - National tree in sri lanka.,,,iNaturalist,HumanObservation,2019,80.374971,8.346565
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Sri Lank or Ceylon Ironwood,,,iNaturalist,HumanObservation,2018,80.427089,6.989785
