internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
36652,Aglaia malabarica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,MELIACEAE,Aglaia,malabarica,,,,,Sasidh.,
33642,Elaeocarpus recurvatus,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,ELAEOCARPACEAE,Elaeocarpus,recurvatus,,,,,Corner,
117894243,Canarium strictum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Canarium,strictum,,,,,Roxb.,
31199,Syzygium occidentale,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,occidentale,,,,,(Bourd.) Gandhi,
38821,Syzygium parameswaranii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,parameswaranii,,,,,M.Mohanan &amp; A.N.Henry,
31170,Vateria macrocarpa,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Vateria,macrocarpa,,,,,B.L.Gupta,
119048736,Viburnum hebanthum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,VIBURNACEAE,Viburnum,hebanthum,,,,,Wight &amp; Arn.,
119243084,Indirana paramakri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIXALIDAE,Indirana,paramakri,,,,,"Garg &amp; Biju, 2016",
119243159,Indirana tysoni,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIXALIDAE,Indirana,tysoni,,,,,"Dahanukar, Modak, Krutha, Nameer, Padhye &amp; Molur, 2016",
119243173,Indirana yadera,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIXALIDAE,Indirana,yadera,,,,,"Dahanukar, Modak, Krutha, Nameer, Padhye &amp; Molur, 2016",Records from Anamada in the Nelliyampathy Hills of Palakkad district (Afthab&#160;<em>et al.</em>&#160;2018) require molecular studies to confirm its presence (N. Modak pers. comm. October 2020).
129335824,Palaquium polyanthum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Palaquium,polyanthum,,,,,(Wall. ex G.Don) Baill.,
31220,Actinodaphne bourneae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Actinodaphne,bourneae,,,,,Gamble,
33497,Litsea leiantha,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Litsea,leiantha,,,,,(Kurz) Hook.f.,
62565,Actinodaphne campanulata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Actinodaphne,campanulata,,,,,Hook.f.,
144052276,Beilschmiedia aborensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Beilschmiedia,aborensis,,,,,Kosterm.,
144053300,Beilschmiedia andamanensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Beilschmiedia,andamanensis,,,,,M.Gangop.,
144056383,Beilschmiedia brandisii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Beilschmiedia,brandisii,,,,,Hook.f.,
