internalTaxonId,commonName,language,main
22680064,Pato Almizclero Aliblanco,Spanish; Castilian,false
22680064,Pato de Jungla,Spanish; Castilian,false
22680064,White-winged Duck,English,true
4615,Aruanã,Portuguese,false
4615,Honu,Maori,false
4615,"Laumei, I’a Sa",Samoan,false
4615,Tartaruga Verde,Portuguese,false
4615,Tortue comestible,French,false
4615,Tortue franche,French,false
4615,Tortue verte,French,false
4615,Tortuga Blanca,Spanish; Castilian,false
4615,Tortuga Verde,Spanish; Castilian,false
4615,Vonu Dina,Fijian,false
4615,الخضراء السلحفاة,Arabic,false
4615,Green Turtle,English,true
103874145,Banasura Laughingthrush,English,false
103874145,Banasura Chilappan,English,true
103874754,Travancore Laughingthrush,English,false
103874754,Ashambu Chilappan,English,true
22716795,Black-breasted Parrotbill,English,true
22716358,Slender-billed Babbler,English,true
22734628,Bugun Liocichla,English,true
22693749,Black-bellied Plover,English,false
22693749,Pluvier argenté,French,false
22693749,الزقزاق الرمادي,Arabic,false
22693749,Grey Plover,English,true
15954,Al nimr,Arabic,false
15954,Bao,Chinese,false
15954,Léopard,French,false
15954,Leopardo,Spanish; Castilian,false
15954,Palang,Persian,false
15954,Pantera,Spanish; Castilian,false
15954,Panthère,French,false
15954,Leopard,English,true
22693447,Bécasseau roussâtre,French,false
22693447,Correlimos Canelo,Spanish; Castilian,false
22693447,Buff-breasted Sandpiper,English,true
2888,Tembadau,English,false
2888,Banteng,German,false
2888,Taw Nwar (aka) Sai,Burmese,false
2888,Banteng,English,true
22693464,Bécasseau falcinelle,French,false
22693464,الطيطوى عريضة المنقار,Arabic,false
22693464,Broad-billed Sandpiper,English,true
22685513,Long-tailed Parakeet,English,true
219,Abo Shemane,Amharic,false
219,Cheeta,Hindi,false
219,Chita,Spanish; Castilian,false
219,Duma,Swahili,false
219,Fahad Sayad (الفهد الصياد),Arabic,false
219,Gepard,German,false
219,Guépard,French,false
219,Guepardo,Spanish; Castilian,false
219,Haramcad,Somali,false
219,Jagluiperd,Afrikaans,false
219,Cheetah,English,true
70205537,Hog Badger,English,false
70205537,Schweinsdachs,German,false
70205537,Greater Hog Badger,English,true
22037,Gee's Golden Langur,English,false
22037,Golden Leaf Monkey,English,false
22037,Entelle Dorée,French,false
22037,Langur Dorado,Spanish; Castilian,false
22037,Langur Doré,French,false
22037,Semnopithèque De Gee,French,false
22037,Semnopithèque Doré,French,false
22037,Gee’s Golden Langur,English,true
22041,Bonneted Langur,English,false
22041,Capped Leaf Monkey,English,false
22041,Capped Monkey,English,false
22041,Entelle Pileuse,French,false
22041,Langur À Capuchon,French,false
22041,Langur Capuchino,Spanish; Castilian,false
22041,Langur De Capa,Spanish; Castilian,false
22041,Capped Langur,English,true
30864,Karimaram,Malayalam,false
30864,Karimbudan,Malayalam,true
15951,African Lion,English,false
15951,Ambessa,Amharic,false
15951,iNgwenyama,Xhosa,false
15951,Leao,Portuguese,false
15951,Leeu,Afrikaans,false
15951,León,Spanish; Castilian,false
15951,Lion,French,false
15951,Mkango,Chichewa; Chewa; Nyanja,false
15951,Ndau,Venda,false
15951,Shumba,Shona,false
15951,Simba,Swahili,false
15951,Tau,"Sotho, Southern",false
15951,Tau,Tswana,false
15951,Lion,English,true
242376417,Deepkadi,Marathi,true
