internalTaxonId,habitatCode,habitatName,majorImportance,season,suitability
54478,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
54584,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
54584,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
54584,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
54593,14.5,Artificial/Terrestrial - Urban Areas,,Resident,Suitable
54593,1.6,Forest - Subtropical/Tropical Moist Lowland,,Resident,Suitable
54593,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),,Resident,Suitable
54684,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
54684,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
54684,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,Resident,Suitable
58203,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58203,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58273,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58273,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
58273,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,Resident,Suitable
58273,14.3,Artificial/Terrestrial - Plantations,,Resident,Suitable
58273,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
197660098,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
197660098,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
197660098,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58312,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58312,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58314,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),,Resident,Marginal
58314,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58314,4.7,Grassland - Subtropical/Tropical High Altitude,Yes,Resident,Suitable
58377,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58377,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58377,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58379,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58379,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58379,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58383,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58383,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58383,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58383,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,,Resident,Suitable
58385,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58385,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58385,14.3,Artificial/Terrestrial - Plantations,Yes,Resident,Suitable
58387,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58387,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58395,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,Resident,Suitable
58395,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58395,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58395,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,Resident,Suitable
58399,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58399,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58401,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58401,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58401,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58401,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,Resident,Suitable
58402,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58402,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58402,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58403,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58403,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58403,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58403,1.8,Forest - Subtropical/Tropical Swamp,Yes,Resident,Suitable
58404,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58404,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58404,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58571,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58571,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Yes,Breeding Season,Suitable
58788,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58788,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,,Resident,Marginal
58788,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
