assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
119040966,38821,Syzygium parameswaranii,1.9,Forest - Subtropical/Tropical Moist Montane,No,Resident,Suitable
119044958,31170,Vateria macrocarpa,1.6,Forest - Subtropical/Tropical Moist Lowland,,Resident,Suitable
119243088,119243084,Indirana paramakri,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
119243088,119243084,Indirana paramakri,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
119243088,119243084,Indirana paramakri,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
119243088,119243084,Indirana paramakri,14.4,Artificial/Terrestrial - Rural Gardens,,Resident,Suitable
119243088,119243084,Indirana paramakri,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
119243164,119243159,Indirana tysoni,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
119243164,119243159,Indirana tysoni,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
119243164,119243159,Indirana tysoni,14.3,Artificial/Terrestrial - Plantations,,Resident,Suitable
119243178,119243173,Indirana yadera,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
119243178,119243173,Indirana yadera,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
119243178,119243173,Indirana yadera,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
119243178,119243173,Indirana yadera,14.3,Artificial/Terrestrial - Plantations,,Resident,Suitable
119243178,119243173,Indirana yadera,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
138500009,31220,Actinodaphne bourneae,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
138502123,33497,Litsea leiantha,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
138508872,62565,Actinodaphne campanulata,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
138508872,62565,Actinodaphne campanulata,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
145297168,144052276,Beilschmiedia aborensis,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
145297198,144053300,Beilschmiedia andamanensis,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
145297273,144056383,Beilschmiedia brandisii,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
145297963,145290519,Beilschmiedia sikkimensis,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
145297963,145290519,Beilschmiedia sikkimensis,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
145415813,145301615,Cinnamomum bhaskarii,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
145415823,145301728,Cinnamomum bishnupadae,1.4,Forest - Temperate,,,Suitable
145415833,145301965,Cinnamomum blandfordii,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
