internalTaxonId,scientificName,redlistCategory,redlistCriteria,kingdomName,phylumName,className,orderName,familyName,genusName,speciesEpithet,doi,populationTrend,hasImage
253632034,Syzygium stocksii,Vulnerable,A2c,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,stocksii,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T253632034A115932401.en,Increasing,True
31219,Myristica malabarica,Vulnerable,A2c,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MYRISTICACEAE,Myristica,malabarica,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T31219A115932548.en,Decreasing,True
36652,Aglaia malabarica,Endangered,"B1ab(ii,iii)+2ab(ii,iii)",PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,MELIACEAE,Aglaia,malabarica,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T36652A115932944.en,Decreasing,False
33642,Elaeocarpus recurvatus,Endangered,A2c,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,ELAEOCARPACEAE,Elaeocarpus,recurvatus,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T33642A117645817.en,Decreasing,True
117894243,Canarium strictum,Endangered,A2cd,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Canarium,strictum,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T117894243A117894247.en,Decreasing,False
31199,Syzygium occidentale,Endangered,"A2c+4c; B2ab(i,ii,iii,iv,v)",PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,occidentale,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T31199A119040796.en,Decreasing,True
38821,Syzygium parameswaranii,Endangered,"B1ab(iii,v)+2ab(iii,v); C2a(i)",PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,parameswaranii,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T38821A119040966.en,Decreasing,True
31170,Vateria macrocarpa,Critically Endangered,"B1ab(iii,v)",PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Vateria,macrocarpa,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T31170A119044958.en,Decreasing,True
119048736,Viburnum hebanthum,Endangered,B1ab(iii)+2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,VIBURNACEAE,Viburnum,hebanthum,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T119048736A119048739.en,Unknown,False
119243084,Indirana paramakri,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIXALIDAE,Indirana,paramakri,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T119243084A119243088.en,Decreasing,True
119243159,Indirana tysoni,Vulnerable,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIXALIDAE,Indirana,tysoni,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T119243159A119243164.en,Decreasing,True
119243173,Indirana yadera,Vulnerable,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIXALIDAE,Indirana,yadera,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T119243173A119243178.en,Decreasing,True
129335824,Palaquium polyanthum,Endangered,B1ab(iii)+2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Palaquium,polyanthum,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T129335824A129336875.en,Unknown,True
31220,Actinodaphne bourneae,Vulnerable,B1ab(iii)+2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Actinodaphne,bourneae,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T31220A138500009.en,Unknown,True
33497,Litsea leiantha,Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Litsea,leiantha,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T33497A138502123.en,Unknown,False
62565,Actinodaphne campanulata,Vulnerable,B1ab(iii)+2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Actinodaphne,campanulata,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T62565A138508872.en,Unknown,False
144052276,Beilschmiedia aborensis,Critically Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Beilschmiedia,aborensis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T144052276A145297168.en,Unknown,False
144053300,Beilschmiedia andamanensis,Vulnerable,D2,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Beilschmiedia,andamanensis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T144053300A145297198.en,Unknown,False
144056383,Beilschmiedia brandisii,Critically Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Beilschmiedia,brandisii,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T144056383A145297273.en,Unknown,False
145290519,Beilschmiedia sikkimensis,Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Beilschmiedia,sikkimensis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145290519A145297963.en,Unknown,False
145301615,Cinnamomum bhaskarii,Critically Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,bhaskarii,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145301615A145415813.en,Unknown,False
145301728,Cinnamomum bishnupadae,Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,bishnupadae,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145301728A145415823.en,Unknown,False
145301965,Cinnamomum blandfordii,Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,blandfordii,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145301965A145415833.en,Unknown,False
145310645,Cinnamomum kingdon-wardii,Critically Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,kingdon-wardii,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145310645A145416111.en,Unknown,False
145311979,Cinnamomum lohitensis,Critically Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,lohitensis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145311979A145416166.en,Unknown,False
145344026,Cinnamomum sanjappae,Vulnerable,D2,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,sanjappae,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145344026A145416471.en,Unknown,False
145404323,Cinnamomum suvrae,Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,suvrae,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145404323A145416576.en,Unknown,False
37611,Euphorbia vajravelui,Endangered,B1ab(iii)+2ab(iii); D,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Euphorbia,vajravelui,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T37611A147294060.en,Decreasing,False
